Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time
idle;39.14;0.80;41.07;0.80;37.53;0.80;;;;0.220;4302;2;8.309;;;0.001;126;0;20.02;
800000-threshold-125;42.79;0.80;43.56;0.80;41.34;0.80;;;;0.131;2792;2;21.298;;;0.001;169;0;23.07;
idle;39.11;0.80;40.05;0.80;37.67;0.80;;;;0.189;3861;2;8.483;;;0.001;270;0;20.02;
800000-threshold-130;42.83;0.80;43.56;0.80;41.32;0.80;;;;0.152;4398;2;21.873;;;0.002;750;0;22.03;
idle;39.03;0.80;41.69;0.80;38.04;0.80;;;;0.178;3675;2;8.183;;;0.001;144;0;20.02;
800000-threshold-135;42.95;0.80;43.89;0.80;41.00;0.80;;;;0.156;3900;2;21.601;;;0.001;586;0;22.68;
idle;39.13;0.80;41.24;0.80;37.46;0.80;;;;0.174;3628;2;8.318;;;0.001;115;0;20.02;
800000-threshold-140;42.88;0.80;43.89;0.80;40.62;0.80;;;;0.164;4012;2;21.943;;;0.001;124;0;21.77;
idle;39.04;0.80;40.79;0.80;36.95;0.80;;;;0.194;3847;2;8.489;;;0.001;121;0;20.02;
800000-threshold-145;42.84;0.80;43.57;0.80;41.47;0.80;;;;0.154;4227;2;22.057;;;0.002;766;0;21.67;
idle;38.99;0.80;41.73;0.80;37.23;0.80;;;;0.201;4205;2;8.637;;;0.001;114;0;20.02;
800000-threshold-150;42.84;0.80;43.50;0.80;41.21;0.80;;;;0.187;3621;2;21.609;;;0.001;136;0;22.31;
idle;39.05;0.80;40.75;0.80;37.55;0.80;;;;0.218;3682;2;8.126;;;0.001;150;0;20.02;
800000-threshold-155;42.93;0.80;43.97;0.80;41.04;0.80;;;;0.206;4608;2;22.175;;;0.002;656;0;21.07;
idle;38.92;0.80;39.82;0.80;37.69;0.80;;;;0.170;3456;2;7.944;;;0.001;89;0;20.02;
800000-threshold-160;42.92;0.80;44.13;0.80;40.99;0.80;;;;0.129;3690;2;21.424;;;0.002;592;0;21.11;
idle;39.41;0.80;43.20;0.80;38.25;0.80;;;;0.229;3767;2;8.981;;;0.001;110;0;20.02;
800000-threshold-165;42.93;0.80;43.92;0.80;41.19;0.80;;;;0.117;2860;2;22.109;;;0.001;146;0;20.11;
idle;39.01;0.80;40.22;0.80;37.44;0.80;;;;0.202;3982;2;8.196;;;0.001;116;0;20.02;
800000-threshold-170;42.98;0.80;43.68;0.80;41.04;0.80;;;;0.158;4350;2;21.857;;;0.002;730;0;20.60;
idle;39.34;0.80;40.65;0.80;37.62;0.80;;;;0.187;3875;2;8.487;;;0.001;138;0;20.02;
800000-threshold-175;42.81;0.80;43.91;0.80;41.17;0.80;;;;0.150;3842;2;21.646;;;0.002;691;0;20.59;
idle;39.38;0.80;42.97;0.80;38.03;0.80;;;;0.181;3995;2;8.880;;;0.001;98;0;20.00;
800000-threshold-180;43.04;0.80;44.34;0.80;40.71;0.80;;;;0.135;2700;2;22.055;;;0.001;169;0;20.24;
idle;39.09;0.80;40.20;0.80;37.32;0.80;;;;0.160;3486;2;8.128;;;0.001;104;0;20.01;
800000-threshold-185;42.97;0.80;44.34;0.80;41.29;0.80;;;;0.161;3087;2;22.151;;;0.001;139;0;20.25;
