Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time
800000-threshold-225;43.21;0.80;43.88;0.80;41.15;0.80;;;;0.159;3064;2;23.040;;;0.001;180;0;17.42;
idle;39.02;0.80;40.68;0.80;37.44;0.80;;;;0.172;3295;2;7.923;;;0.001;93;0;20.02;
800000-threshold-230;43.26;0.80;44.41;0.80;41.74;0.80;;;;0.133;2532;2;22.971;;;0.001;136;0;17.63;
idle;39.29;0.80;40.35;0.80;38.44;0.80;;;;0.211;4039;2;8.281;;;0.001;113;0;20.02;
800000-threshold-235;43.18;0.80;44.61;0.80;41.33;0.80;;;;0.156;3073;2;22.525;;;0.002;647;0;17.12;
idle;39.24;0.80;40.71;0.80;37.62;0.80;;;;0.211;3837;2;8.311;;;0.001;115;0;20.02;
800000-threshold-240;43.06;0.80;43.91;0.80;41.20;0.80;;;;0.140;2074;2;21.685;;;0.001;192;0;17.57;
idle;39.22;0.80;41.15;0.80;37.96;0.80;;;;0.198;3868;2;8.327;;;0.001;118;0;20.02;
800000-threshold-245;43.19;0.80;43.98;0.80;41.06;0.80;;;;0.187;2695;2;22.720;;;0.002;186;0;17.23;
idle;39.11;0.80;41.24;0.80;37.57;0.80;;;;0.203;4030;2;7.976;;;0.001;115;0;20.02;
800000-threshold-250;43.04;0.80;43.89;0.80;41.00;0.80;;;;0.156;2852;2;22.248;;;0.001;366;0;17.86;
idle;39.10;0.80;39.64;0.80;38.26;0.80;;;;0.207;3564;2;7.962;;;0.001;87;0;20.02;
800000-threshold-255;43.00;0.80;43.98;0.80;41.25;0.80;;;;0.152;3077;2;21.981;;;0.001;504;0;17.56;
idle;39.35;0.80;40.56;0.80;38.06;0.80;;;;0.189;4025;2;8.660;;;0.001;107;0;20.02;
800000-threshold-0;42.67;0.80;43.68;0.80;41.20;0.80;;;;0.197;4305;2;20.889;;;0.001;173;0;23.55;
idle;39.07;0.80;40.23;0.80;37.44;0.80;;;;0.184;3968;2;8.100;;;0.001;109;0;20.02;
800000-threshold-5;42.99;0.80;44.35;0.80;41.52;0.80;;;;0.156;3802;2;21.989;;;0.002;710;0;22.61;
idle;38.96;0.80;40.29;0.80;37.67;0.80;;;;0.175;3335;2;7.894;;;0.001;122;0;20.02;
800000-threshold-10;43.04;0.80;44.23;0.80;40.89;0.80;;;;0.159;4660;2;22.003;;;0.002;525;0;22.69;
idle;39.28;0.80;40.76;0.80;38.22;0.80;;;;0.192;4156;2;8.157;;;0.001;114;0;20.02;
800000-threshold-15;43.06;0.80;43.79;0.80;41.73;0.80;;;;0.179;4628;2;22.041;;;0.001;493;0;22.71;
idle;39.22;0.80;40.74;0.80;37.88;0.80;;;;0.208;4163;2;8.290;;;0.001;113;0;20.02;
800000-threshold-20;42.84;0.80;43.80;0.80;40.77;0.80;;;;0.171;3736;2;21.622;;;0.001;512;0;22.93;
idle;39.22;0.80;40.54;0.80;37.65;0.80;;;;0.182;3873;2;8.214;;;0.001;106;0;20.02;
800000-threshold-25;42.74;0.80;43.71;0.80;41.30;0.80;;;;0.146;3687;2;21.173;;;0.001;528;0;23.36;
idle;39.21;0.80;40.75;0.80;37.57;0.80;;;;0.223;3697;2;7.996;;;0.001;113;0;20.02;
800000-threshold-30;42.98;0.80;43.84;0.80;41.39;0.80;;;;0.133;3524;2;21.990;;;0.001;147;0;22.58;
idle;39.42;0.80;41.85;0.80;38.10;0.80;;;;0.228;4078;2;8.615;;;0.001;141;0;20.02;
800000-threshold-35;42.91;0.80;44.14;0.80;40.91;0.80;;;;0.178;3839;2;21.839;;;0.001;217;0;22.65;
idle;39.28;0.80;40.83;0.80;37.74;0.80;;;;0.200;4144;2;8.323;;;0.001;122;0;20.00;
800000-threshold-40;42.73;0.80;43.87;0.80;40.40;0.80;;;;0.186;3606;2;21.631;;;0.001;134;0;22.33;
idle;39.15;0.80;40.87;0.80;37.26;0.80;;;;0.179;3748;2;8.197;;;0.001;114;0;20.02;
800000-threshold-45;42.85;0.80;44.22;0.80;40.99;0.80;;;;0.158;4607;2;21.786;;;0.002;679;0;23.08;
idle;39.37;0.80;42.08;0.80;37.72;0.80;;;;0.184;3949;2;8.559;;;0.001;114;0;20.01;
800000-threshold-50;42.75;0.80;43.42;0.80;40.90;0.80;;;;0.179;4135;2;21.355;;;0.002;561;0;23.12;
idle;39.32;0.80;41.77;0.80;37.87;0.80;;;;0.204;3981;2;8.366;;;0.001;102;0;20.02;
800000-threshold-55;42.73;0.80;43.50;0.80;41.16;0.80;;;;0.155;4412;2;21.682;;;0.002;732;0;23.04;
idle;39.14;0.80;40.54;0.80;37.89;0.80;;;;0.193;3878;2;7.973;;;0.001;118;0;20.02;
800000-threshold-60;42.83;0.80;43.94;0.80;40.92;0.80;;;;0.159;4631;2;22.117;;;0.001;544;0;23.48;
idle;39.07;0.80;40.71;0.80;37.30;0.80;;;;0.178;3574;2;8.018;;;0.001;95;0;20.02;
800000-threshold-65;42.93;0.80;44.00;0.80;40.81;0.80;;;;0.148;4335;2;21.662;;;0.002;767;0;22.77;
idle;39.23;0.80;41.07;0.80;37.79;0.80;;;;0.171;3442;2;8.107;;;0.001;99;0;20.00;
800000-threshold-70;43.04;0.80;44.17;0.80;41.38;0.80;;;;0.167;4182;2;21.982;;;0.001;373;0;22.80;
idle;39.37;0.80;40.50;0.80;38.65;0.80;;;;0.195;3931;2;8.498;;;0.001;114;0;20.00;
800000-threshold-75;42.84;0.80;44.67;0.80;41.05;0.80;;;;0.218;4903;2;22.057;;;0.002;758;0;22.89;
idle;39.07;0.80;40.09;0.80;36.59;0.80;;;;0.176;3723;2;7.988;;;0.001;260;0;20.02;
800000-threshold-80;42.97;0.80;43.96;0.80;41.19;0.80;;;;0.154;4329;2;21.969;;;0.002;841;0;22.24;
idle;39.03;0.80;40.78;0.80;37.98;0.80;;;;0.162;3444;2;7.951;;;0.001;110;0;20.02;
800000-threshold-85;42.97;0.80;44.07;0.80;41.26;0.80;;;;0.172;3666;2;21.593;;;0.001;204;0;22.84;
idle;39.06;0.80;40.82;0.80;37.58;0.80;;;;0.184;3670;2;8.198;;;0.001;108;0;20.02;
800000-threshold-90;42.94;0.80;44.14;0.80;41.28;0.80;;;;0.140;4385;2;22.099;;;0.002;585;0;22.55;
idle;39.02;0.80;41.20;0.80;37.62;0.80;;;;0.205;4135;2;7.956;;;0.001;114;0;20.02;
800000-threshold-95;42.87;0.80;43.75;0.80;41.24;0.80;;;;0.140;4042;2;21.344;;;0.002;604;0;22.46;
idle;39.46;0.80;40.90;0.80;37.37;0.80;;;;0.250;4713;2;8.759;;;0.001;139;0;20.01;
800000-threshold-100;43.08;0.80;43.94;0.80;41.27;0.80;;;;0.191;4921;2;21.920;;;0.002;749;0;22.96;
idle;39.30;0.80;42.17;0.80;38.19;0.80;;;;0.189;3855;2;8.513;;;0.001;290;0;20.02;
800000-threshold-105;42.71;0.80;43.61;0.80;41.14;0.80;;;;0.142;3282;2;20.906;;;0.001;176;0;23.29;
idle;39.30;0.80;40.97;0.80;37.78;0.80;;;;0.197;3839;2;8.951;;;0.001;96;0;20.02;
800000-threshold-110;43.06;0.80;44.22;0.80;41.26;0.80;;;;0.191;4561;2;22.066;;;0.002;648;0;22.61;
idle;39.06;0.80;39.96;0.80;37.18;0.80;;;;0.149;3394;2;7.962;;;0.001;143;0;20.02;
800000-threshold-115;42.89;0.80;44.14;0.80;41.18;0.80;;;;0.146;4108;2;21.507;;;0.002;520;0;22.87;
idle;39.24;0.80;41.20;0.80;37.58;0.80;;;;0.144;3729;2;8.488;;;0.001;252;0;20.02;
800000-threshold-120;42.88;0.80;43.52;0.80;41.27;0.80;;;;0.164;3453;2;21.321;;;0.001;170;0;22.69;
idle;39.10;0.80;40.37;0.80;37.93;0.80;;;;0.213;4167;2;8.024;;;0.001;128;0;20.02;
800000-threshold-125;43.12;0.80;44.09;0.80;41.09;0.80;;;;0.135;4072;2;22.120;;;0.001;508;0;22.02;
idle;39.07;0.80;41.04;0.80;37.41;0.80;;;;0.193;3846;2;8.003;;;0.001;162;0;20.02;
800000-threshold-130;42.95;0.80;45.18;0.80;41.15;0.80;;;;0.174;3554;2;21.168;;;0.001;445;0;22.83;
idle;39.36;0.80;40.53;0.80;38.40;0.80;;;;0.201;3722;2;8.377;;;0.001;102;0;20.02;
800000-threshold-135;43.05;0.80;44.09;0.80;41.35;0.80;;;;0.181;4267;2;22.136;;;0.001;536;0;21.49;
idle;39.19;0.80;40.44;0.80;38.23;0.80;;;;0.222;3982;2;8.084;;;0.001;145;0;20.02;
800000-threshold-140;43.08;0.80;44.31;0.80;40.98;0.80;;;;0.183;3535;2;21.805;;;0.001;125;0;21.96;
idle;39.38;0.80;41.54;0.80;37.96;0.80;;;;0.171;3828;2;8.311;;;0.001;161;0;20.01;
800000-threshold-145;43.09;0.80;44.22;0.80;40.91;0.80;;;;0.160;3871;2;22.285;;;0.001;383;0;21.70;
idle;39.22;0.80;40.81;0.80;37.34;0.80;;;;0.180;3826;2;8.209;;;0.001;98;0;20.02;
800000-threshold-150;42.95;0.80;43.77;0.80;41.27;0.80;;;;0.163;4811;2;22.224;;;0.002;684;0;21.28;
idle;39.18;0.80;40.50;0.80;37.81;0.80;;;;0.224;4151;2;7.956;;;0.001;137;0;20.02;
800000-threshold-155;43.03;0.80;43.93;0.80;41.79;0.80;;;;0.138;3150;2;21.691;;;0.001;167;0;21.90;
idle;39.61;0.80;41.07;0.80;38.54;0.80;;;;0.218;3935;2;9.058;;;0.001;171;0;20.02;
800000-threshold-160;43.07;0.80;44.33;0.80;40.97;0.80;;;;0.154;4201;2;22.145;;;0.002;679;0;21.42;
idle;39.21;0.80;40.59;0.80;37.72;0.80;;;;0.194;3609;2;8.268;;;0.001;107;0;20.00;
800000-threshold-165;42.99;0.80;43.92;0.80;41.24;0.80;;;;0.133;3410;2;21.292;;;0.002;658;0;21.45;
idle;39.29;0.80;40.49;0.80;38.22;0.80;;;;0.206;3904;2;8.288;;;0.001;121;0;20.02;
800000-threshold-170;42.91;0.80;44.13;0.80;41.16;0.80;;;;0.146;4085;2;21.961;;;0.002;608;0;20.55;
idle;38.99;0.80;40.11;0.80;37.90;0.80;;;;0.209;3584;2;8.085;;;0.001;109;0;20.02;
800000-threshold-175;42.97;0.80;44.17;0.80;40.61;0.80;;;;0.126;3686;2;21.683;;;0.002;573;0;21.50;
idle;39.07;0.80;40.36;0.80;37.28;0.80;;;;0.179;3976;2;8.241;;;0.001;135;0;20.02;
800000-threshold-180;43.23;0.80;44.26;0.80;41.29;0.80;;;;0.161;3532;2;22.256;;;0.001;202;0;19.64;
idle;39.17;0.80;40.58;0.80;37.69;0.80;;;;0.239;4016;2;8.203;;;0.001;99;0;20.01;
800000-threshold-185;42.97;0.80;45.08;0.80;41.45;0.80;;;;0.149;3770;2;21.670;;;0.002;495;0;20.53;
idle;39.10;0.80;41.27;0.80;37.69;0.80;;;;0.205;3561;2;7.916;;;0.001;126;0;20.02;
800000-threshold-190;43.41;0.80;44.85;0.80;41.89;0.80;;;;0.121;2742;2;22.082;;;0.001;225;0;19.55;
idle;39.23;0.80;41.58;0.80;37.74;0.80;;;;0.154;3321;2;8.264;;;0.001;89;0;20.02;
800000-threshold-195;43.10;0.80;44.16;0.80;41.06;0.80;;;;0.175;3333;2;21.795;;;0.002;479;0;19.32;
idle;39.23;0.80;40.26;0.80;36.91;0.80;;;;0.207;4035;2;8.268;;;0.000;108;0;20.02;
800000-threshold-200;43.28;0.80;44.68;0.80;41.48;0.80;;;;0.176;3595;2;22.514;;;0.002;557;0;17.94;
idle;39.23;0.80;40.92;0.80;38.02;0.80;;;;0.215;3783;2;8.036;;;0.001;108;0;20.02;
800000-threshold-205;43.19;0.80;44.77;0.80;41.33;0.80;;;;0.173;3249;2;22.571;;;0.002;502;0;17.77;
idle;39.20;0.80;40.52;0.80;37.68;0.80;;;;0.193;4182;2;8.123;;;0.001;128;0;20.02;
800000-threshold-210;43.30;0.80;44.71;0.80;41.06;0.80;;;;0.170;3987;2;23.039;;;0.003;888;0;17.29;
idle;39.18;0.80;40.48;0.80;37.73;0.80;;;;0.198;3694;2;8.024;;;0.001;118;0;20.02;
800000-threshold-215;43.43;0.80;44.40;0.80;40.99;0.80;;;;0.198;3522;2;22.940;;;0.002;681;0;16.88;
idle;39.26;0.80;40.84;0.80;38.12;0.80;;;;0.192;3930;2;8.253;;;0.001;129;0;20.02;
800000-threshold-220;43.27;0.80;45.19;0.80;41.39;0.80;;;;0.192;3409;2;23.063;;;0.002;686;0;17.18;
idle;39.22;0.80;40.84;0.80;37.73;0.80;;;;0.172;3840;2;8.031;;;0.001;103;0;20.02;
800000-threshold-225;43.29;0.80;44.51;0.80;41.31;0.80;;;;0.170;3323;2;22.459;;;0.002;665;0;17.98;
idle;39.24;0.80;40.88;0.80;37.30;0.80;;;;0.184;3681;2;8.044;;;0.001;110;0;20.02;
800000-threshold-230;43.24;0.80;44.06;0.80;41.22;0.80;;;;0.224;3854;2;23.080;;;0.002;515;0;17.18;
idle;39.43;0.80;40.29;0.80;38.38;0.80;;;;0.165;3832;2;8.288;;;0.001;123;0;20.01;
800000-threshold-235;43.42;0.80;47.26;0.80;41.26;0.80;;;;0.139;2507;2;22.393;;;0.001;118;0;18.63;
idle;39.50;0.80;40.43;0.80;38.38;0.80;;;;0.203;3809;2;8.271;;;0.001;128;0;20.02;
800000-threshold-240;43.25;0.80;44.22;0.80;41.21;0.80;;;;0.152;2542;2;22.034;;;0.001;155;0;18.46;
idle;39.10;0.80;40.60;0.80;37.65;0.80;;;;0.188;3859;2;7.902;;;0.001;126;0;20.02;
800000-threshold-245;43.35;0.80;44.36;0.80;41.39;0.80;;;;0.157;2935;2;23.448;;;0.001;126;0;16.90;
idle;39.43;0.80;40.05;0.80;38.78;0.80;;;;0.176;3687;2;8.249;;;0.001;142;0;20.01;
800000-threshold-250;43.16;0.80;44.01;0.80;41.27;0.80;;;;0.218;3710;2;22.698;;;0.002;531;0;17.34;
idle;39.57;0.80;43.19;0.80;38.25;0.80;;;;0.204;3959;2;8.796;;;0.001;110;0;20.01;
800000-threshold-255;43.20;0.80;44.38;0.80;41.32;0.80;;;;0.159;3582;2;22.668;;;0.002;704;0;17.27;
idle;38.95;0.88;40.23;0.89;37.72;0.87;;;;0.197;4009;2;7.188;;;0.001;137;0;20.02;
900000-threshold-0;43.00;0.90;44.01;0.90;41.35;0.89;;;;0.211;3223;2;20.103;;;0.001;157;0;21.09;
idle;39.11;0.88;40.54;0.89;37.38;0.87;;;;0.181;3678;2;7.601;;;0.001;117;0;20.02;
900000-threshold-5;43.20;0.90;44.20;0.90;41.79;0.88;;;;0.160;4122;2;20.853;;;0.001;580;0;20.72;
idle;39.09;0.88;43.26;0.89;36.94;0.87;;;;0.193;3679;2;7.818;;;0.001;118;0;20.01;
900000-threshold-10;43.18;0.90;43.93;0.90;41.44;0.89;;;;0.158;3978;2;20.605;;;0.002;902;0;20.92;
idle;38.94;0.88;40.52;0.89;37.55;0.87;;;;0.197;3892;2;7.333;;;0.001;132;0;20.02;
900000-threshold-15;43.44;0.90;44.40;0.90;41.54;0.89;;;;0.181;4158;2;21.628;;;0.002;672;0;19.96;
idle;39.02;0.88;40.83;0.89;37.46;0.87;;;;0.222;3675;2;7.380;;;0.001;137;0;20.02;
900000-threshold-20;43.17;0.90;43.87;0.90;41.65;0.89;;;;0.202;4228;2;21.137;;;0.002;549;0;20.30;
idle;39.31;0.88;42.81;0.89;37.13;0.86;;;;0.207;4032;2;8.041;;;0.001;122;0;20.02;
900000-threshold-25;43.19;0.90;44.20;0.90;41.43;0.89;;;;0.156;3773;2;21.330;;;0.002;583;0;19.92;
idle;39.06;0.88;40.89;0.89;37.68;0.87;;;;0.208;4362;2;7.543;;;0.001;118;0;20.02;
900000-threshold-30;43.17;0.90;43.93;0.90;41.47;0.89;;;;0.204;4192;2;21.273;;;0.002;737;0;20.01;
idle;39.22;0.88;39.93;0.89;37.70;0.87;;;;0.207;3507;2;7.602;;;0.001;118;0;20.02;
900000-threshold-35;43.23;0.90;44.01;0.90;41.24;0.89;;;;0.198;3991;2;20.997;;;0.002;598;0;20.18;
idle;39.32;0.88;42.39;0.88;38.18;0.87;;;;0.187;3810;2;7.788;;;0.001;158;0;20.01;
900000-threshold-40;43.34;0.90;44.11;0.90;41.11;0.88;;;;0.141;4155;2;20.839;;;0.002;734;0;20.32;
idle;38.94;0.88;39.94;0.89;37.75;0.87;;;;0.161;3683;2;7.036;;;0.001;126;0;20.02;
900000-threshold-45;43.10;0.90;44.05;0.90;41.27;0.89;;;;0.190;3212;2;20.694;;;0.001;272;0;21.03;
idle;39.23;0.88;40.19;0.89;38.25;0.87;;;;0.180;4081;2;7.650;;;0.001;111;0;20.02;
900000-threshold-50;43.17;0.90;44.46;0.90;41.35;0.89;;;;0.170;3555;2;20.843;;;0.002;803;0;20.93;
idle;39.15;0.88;40.11;0.89;38.25;0.87;;;;0.182;3954;2;7.460;;;0.001;113;0;20.02;
900000-threshold-55;43.30;0.90;43.99;0.90;41.62;0.89;;;;0.150;3559;2;21.020;;;0.002;718;0;20.15;
idle;39.04;0.88;40.81;0.89;37.88;0.87;;;;0.217;3503;2;7.406;;;0.001;122;0;20.02;
900000-threshold-60;43.29;0.90;44.11;0.90;41.60;0.89;;;;0.183;3262;2;21.231;;;0.001;142;0;19.97;
idle;39.37;0.88;41.73;0.89;38.02;0.87;;;;0.185;3627;2;7.848;;;0.001;115;0;20.02;
900000-threshold-65;43.23;0.90;44.06;0.90;41.16;0.89;;;;0.123;3373;2;20.831;;;0.002;756;0;20.58;
idle;39.08;0.88;40.33;0.89;37.38;0.87;;;;0.205;3310;2;7.372;;;0.001;104;0;20.02;
900000-threshold-70;43.21;0.90;44.78;0.90;41.56;0.89;;;;0.168;3198;2;20.976;;;0.001;171;0;20.11;
idle;39.03;0.88;40.47;0.89;38.12;0.87;;;;0.191;3806;2;7.490;;;0.000;102;0;20.00;
900000-threshold-75;43.15;0.90;44.16;0.90;41.37;0.89;;;;0.129;3409;2;20.793;;;0.002;698;0;20.57;
idle;39.27;0.88;41.48;0.89;37.67;0.87;;;;0.197;3887;2;7.777;;;0.000;104;0;20.02;
900000-threshold-80;43.34;0.90;44.43;0.90;41.44;0.89;;;;0.168;3673;2;21.565;;;0.002;653;0;19.84;
idle;39.16;0.88;40.35;0.89;37.65;0.87;;;;0.204;3960;2;7.423;;;0.001;105;0;20.02;
900000-threshold-85;43.28;0.90;44.36;0.90;41.36;0.89;;;;0.176;3993;2;21.506;;;0.002;744;0;21.01;
idle;39.21;0.88;40.32;0.89;37.81;0.87;;;;0.187;3421;2;7.421;;;0.001;122;0;20.02;
900000-threshold-90;43.46;0.90;44.17;0.90;41.87;0.89;;;;0.162;3482;2;21.276;;;0.001;126;0;19.92;
idle;39.37;0.88;40.83;0.89;37.53;0.87;;;;0.261;4135;2;7.846;;;0.001;126;0;20.02;
900000-threshold-95;43.20;0.90;44.37;0.90;41.36;0.89;;;;0.169;3475;2;21.672;;;0.001;358;0;20.21;
idle;39.16;0.88;40.81;0.89;37.54;0.87;;;;0.190;4143;2;7.393;;;0.001;107;0;20.02;
900000-threshold-100;43.16;0.90;43.83;0.90;41.43;0.88;;;;0.154;2888;2;20.896;;;0.001;133;0;20.50;
idle;39.18;0.88;40.70;0.89;37.78;0.87;;;;0.185;3400;2;7.590;;;0.001;130;0;20.00;
900000-threshold-105;43.23;0.90;43.97;0.90;41.80;0.89;;;;0.171;4182;2;21.332;;;0.002;708;0;19.91;
idle;39.05;0.88;40.39;0.89;37.71;0.87;;;;0.166;3406;2;7.496;;;0.001;125;0;20.02;
900000-threshold-110;43.44;0.90;47.98;0.90;41.47;0.89;;;;0.177;3015;2;21.469;;;0.001;246;0;20.37;
idle;39.27;0.88;40.57;0.89;38.32;0.87;;;;0.188;3908;2;7.546;;;0.001;114;0;20.02;
900000-threshold-115;43.17;0.90;43.92;0.90;41.57;0.89;;;;0.165;3218;2;21.117;;;0.001;151;0;20.31;
idle;39.21;0.88;41.21;0.89;37.78;0.87;;;;0.242;3624;2;7.665;;;0.001;124;0;20.02;
900000-threshold-120;43.18;0.90;44.09;0.90;41.80;0.89;;;;0.136;2576;2;20.584;;;0.001;143;0;20.46;
idle;39.11;0.88;40.23;0.89;37.30;0.87;;;;0.205;3276;2;7.378;;;0.001;125;0;20.00;
900000-threshold-125;43.09;0.90;43.80;0.90;41.55;0.88;;;;0.188;3697;2;20.697;;;0.002;777;0;20.98;
idle;39.23;0.88;40.35;0.89;38.21;0.88;;;;0.170;3354;2;7.605;;;0.001;108;0;20.02;
900000-threshold-130;43.18;0.90;43.82;0.90;41.58;0.89;;;;0.173;3544;2;20.753;;;0.002;745;0;19.77;
idle;39.37;0.88;40.45;0.89;37.83;0.87;;;;0.182;3746;2;7.824;;;0.001;115;0;20.02;
900000-threshold-135;43.22;0.90;44.05;0.90;41.49;0.89;;;;0.199;4126;2;21.393;;;0.002;799;0;19.61;
idle;39.19;0.88;40.48;0.89;38.18;0.87;;;;0.179;3822;2;7.520;;;0.001;133;0;20.02;
900000-threshold-140;43.42;0.90;45.58;0.90;41.63;0.89;;;;0.143;3401;2;21.515;;;0.002;763;0;19.48;
idle;39.20;0.88;40.31;0.89;38.09;0.87;;;;0.178;3680;2;7.564;;;0.001;121;0;20.00;
900000-threshold-145;43.10;0.90;44.23;0.90;41.64;0.88;;;;0.157;3546;2;21.196;;;0.002;620;0;19.04;
idle;39.13;0.88;40.45;0.89;37.61;0.87;;;;0.159;3366;2;7.723;;;0.000;84;0;20.01;
900000-threshold-150;43.12;0.90;44.33;0.90;41.08;0.89;;;;0.146;3619;2;21.181;;;0.002;840;0;19.27;
idle;38.98;0.88;40.35;0.89;37.25;0.87;;;;0.205;3752;2;7.259;;;0.001;96;0;20.02;
900000-threshold-155;43.38;0.90;45.17;0.90;41.04;0.89;;;;0.158;3516;2;21.553;;;0.002;715;0;19.54;
idle;39.10;0.88;40.94;0.89;37.63;0.87;;;;0.220;3641;2;7.589;;;0.001;112;0;20.02;
900000-threshold-160;43.18;0.90;44.22;0.90;41.07;0.89;;;;0.173;2713;2;20.655;;;0.001;201;0;18.86;
idle;39.27;0.88;40.49;0.89;38.27;0.87;;;;0.227;3570;2;7.715;;;0.001;125;0;20.02;
900000-threshold-165;43.45;0.90;44.92;0.90;41.29;0.89;;;;0.197;4300;2;21.369;;;0.002;750;0;19.01;
idle;39.07;0.88;40.90;0.89;37.46;0.87;;;;0.170;3627;2;7.569;;;0.001;132;0;20.01;
900000-threshold-170;43.65;0.90;46.56;0.90;41.69;0.89;;;;0.175;3198;2;22.242;;;0.001;228;0;17.88;
idle;39.18;0.88;40.48;0.89;38.17;0.87;;;;0.202;3871;2;7.774;;;0.001;130;0;20.02;
900000-threshold-175;43.48;0.90;44.63;0.90;41.27;0.89;;;;0.181;3782;2;21.684;;;0.002;691;0;17.59;
idle;39.07;0.88;40.07;0.88;38.10;0.87;;;;0.224;3879;2;7.590;;;0.001;165;0;20.02;
900000-threshold-180;43.44;0.90;44.78;0.90;41.82;0.89;;;;0.196;2919;2;21.514;;;0.001;125;0;17.82;
idle;39.06;0.88;40.50;0.89;37.74;0.87;;;;0.187;3891;2;7.658;;;0.001;110;0;20.01;
900000-threshold-185;43.47;0.90;44.65;0.90;41.42;0.89;;;;0.186;3687;2;21.639;;;0.002;692;0;16.90;
idle;39.51;0.88;42.05;0.90;37.37;0.87;;;;0.189;3979;2;9.077;;;0.001;130;0;20.01;
900000-threshold-190;43.47;0.90;44.39;0.90;41.60;0.89;;;;0.150;2847;2;21.409;;;0.001;125;0;17.49;
idle;38.90;0.88;40.25;0.89;37.40;0.87;;;;0.220;4148;2;7.360;;;0.001;120;0;20.02;
900000-threshold-195;43.12;0.90;43.92;0.90;41.68;0.89;;;;0.171;2522;2;21.140;;;0.001;213;0;16.45;
idle;39.09;0.88;40.73;0.89;37.72;0.87;;;;0.194;3910;2;7.860;;;0.001;128;0;20.02;
900000-threshold-200;43.62;0.90;44.84;0.90;41.59;0.89;;;;0.163;3189;2;21.537;;;0.002;705;0;16.00;
idle;39.15;0.88;43.05;0.89;37.59;0.87;;;;0.222;3851;2;7.944;;;0.001;140;0;20.02;
900000-threshold-205;43.51;0.90;44.66;0.90;41.09;0.89;;;;0.145;3181;2;22.233;;;0.003;798;0;15.31;
idle;38.89;0.88;40.16;0.88;37.72;0.87;;;;0.214;3756;2;7.348;;;0.001;118;0;20.02;
900000-threshold-210;43.62;0.90;44.80;0.90;42.00;0.89;;;;0.185;3427;2;22.577;;;0.003;827;0;15.63;
idle;41.27;0.89;45.49;0.90;38.13;0.87;;;;0.205;3880;2;11.825;;;0.001;179;0;20.00;
900000-threshold-215;44.09;0.90;46.20;0.90;42.50;0.89;;;;0.291;4817;2;24.129;;;0.004;957;0;15.24;
idle;38.82;0.88;40.36;0.89;37.32;0.87;;;;0.215;3604;2;7.415;;;0.001;106;0;20.02;
900000-threshold-220;43.65;0.90;45.18;0.90;41.07;0.89;;;;0.206;3145;2;22.106;;;0.002;706;0;16.20;
idle;39.12;0.88;40.98;0.89;37.21;0.87;;;;0.186;4197;2;7.769;;;0.001;124;0;20.02;
900000-threshold-225;43.57;0.90;44.67;0.90;41.42;0.89;;;;0.178;2658;2;22.053;;;0.001;152;0;15.33;
idle;39.10;0.88;40.77;0.89;37.95;0.87;;;;0.213;3892;2;7.652;;;0.001;116;0;20.01;
900000-threshold-230;43.74;0.90;44.90;0.90;41.63;0.88;;;;0.198;3467;2;22.587;;;0.003;764;0;15.33;
idle;38.94;0.88;43.17;0.89;37.25;0.87;;;;0.211;3401;2;7.605;;;0.001;135;0;20.02;
900000-threshold-235;43.74;0.90;44.97;0.90;41.77;0.89;;;;0.198;3597;2;22.235;;;0.003;679;0;14.99;
idle;38.83;0.88;40.88;0.89;37.30;0.87;;;;0.151;3725;2;7.370;;;0.000;89;0;20.02;
900000-threshold-240;43.54;0.90;45.02;0.90;41.84;0.89;;;;0.135;2700;2;22.156;;;0.002;623;0;15.12;
idle;38.89;0.88;39.92;0.88;37.65;0.87;;;;0.182;4027;2;7.524;;;0.001;120;0;20.02;
900000-threshold-245;43.57;0.90;44.43;0.90;41.60;0.89;;;;0.221;3040;2;21.778;;;0.002;534;0;15.78;
idle;39.36;0.88;42.76;0.89;37.84;0.87;;;;0.192;3646;2;8.239;;;0.001;129;0;20.02;
900000-threshold-250;43.61;0.90;44.50;0.90;41.78;0.89;;;;0.170;3263;2;21.627;;;0.003;573;0;15.50;
idle;39.25;0.88;40.42;0.89;38.42;0.87;;;;0.186;4154;2;7.767;;;0.001;125;0;20.00;
900000-threshold-255;43.54;0.90;44.80;0.90;40.91;0.88;;;;0.149;2923;2;21.812;;;0.003;735;0;15.40;
idle;39.07;0.88;40.38;0.88;38.17;0.87;;;;0.228;4225;2;7.642;;;0.001;121;0;20.02;
900000-threshold-0;43.11;0.90;43.97;0.90;41.21;0.89;;;;0.187;4257;2;20.141;;;0.001;549;0;20.90;
idle;38.99;0.88;40.49;0.89;37.37;0.87;;;;0.224;3827;2;7.492;;;0.000;91;0;20.02;
900000-threshold-5;43.34;0.90;43.91;0.90;42.02;0.89;;;;0.175;4174;2;21.624;;;0.002;856;0;20.67;
idle;38.93;0.88;40.70;0.89;37.34;0.86;;;;0.232;4116;2;7.272;;;0.001;114;0;20.02;
900000-threshold-10;43.25;0.90;43.96;0.90;41.27;0.89;;;;0.189;4150;2;21.141;;;0.002;724;0;20.28;
