Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time;
900000-threshold-0;46.01;0.90;51.73;0.90;42.95;0.90;;;;0.168;19224;2;32.707;;;0.002;3372;0;94.01;
idle;39.54;0.88;41.00;0.89;38.65;0.87;;;;0.195;4506;2;7.770;;;0.001;103;0;20.02;
900000-threshold-50;46.04;0.90;48.60;0.90;43.74;0.90;;;;0.146;15343;2;31.555;;;0.002;3042;0;96.44;
idle;40.54;0.88;44.23;0.90;38.47;0.87;;;;0.261;4321;2;9.797;;;0.001;262;0;20.00;
900000-threshold-100;49.97;0.90;53.69;0.90;41.70;0.89;;;;0.102;6202;2;48.609;;;0.002;2129;0;53.22;
idle;39.42;0.88;42.02;0.89;38.27;0.87;;;;0.170;3685;2;7.616;;;0.001;331;0;20.01;
900000-threshold-150;46.11;0.90;48.55;0.90;42.24;0.89;;;;0.135;14110;2;31.463;;;0.002;3200;0;89.77;
idle;39.55;0.88;40.64;0.89;37.98;0.87;;;;0.191;3921;2;7.653;;;0.001;256;0;20.02;
900000-threshold-0;49.15;0.90;50.52;0.90;43.62;0.90;;;;0.095;7280;2;46.621;;;0.002;2315;0;58.40;
idle;39.36;0.88;41.16;0.89;38.08;0.87;;;;0.178;3549;2;7.494;;;0.001;109;0;20.02;
900000-threshold-50;44.33;0.90;45.50;0.90;41.97;0.89;;;;0.162;25187;2;24.529;;;0.001;3965;0;137.57;
idle;39.47;0.88;40.93;0.88;38.15;0.87;;;;0.202;4127;2;7.804;;;0.001;106;0;20.02;
900000-threshold-100;46.43;0.90;48.83;0.90;42.83;0.89;;;;0.138;14795;2;33.066;;;0.002;3262;0;87.30;
idle;39.40;0.88;40.35;0.89;38.32;0.87;;;;0.175;3620;2;7.636;;;0.001;110;0;20.02;
900000-threshold-150;44.58;0.90;46.72;0.90;41.82;0.89;;;;0.169;25015;2;24.931;;;0.001;3473;0;127.87;
idle;39.23;0.88;41.45;0.89;37.86;0.87;;;;0.212;3932;2;7.421;;;0.001;214;0;20.02;
900000-threshold-0;45.85;0.90;47.79;0.90;41.37;0.89;;;;0.126;15459;2;31.992;;;0.002;3705;0;96.30;
idle;39.21;0.88;40.44;0.89;37.65;0.87;;;;0.191;3745;2;7.532;;;0.001;115;0;20.02;
900000-threshold-50;46.05;0.90;48.32;0.90;41.59;0.89;;;;0.142;16067;2;32.796;;;0.002;3602;0;89.78;
idle;39.59;0.88;41.57;0.89;37.53;0.87;;;;0.194;4045;2;8.175;;;0.001;119;0;20.02;
900000-threshold-100;46.10;0.90;48.81;0.90;42.82;0.90;;;;0.166;16408;2;32.647;;;0.002;3718;0;88.30;
idle;39.69;0.88;40.92;0.89;38.23;0.87;;;;0.201;3463;2;8.057;;;0.001;110;0;20.02;
900000-threshold-150;45.77;0.90;48.33;0.90;41.76;0.89;;;;0.139;14769;2;30.970;;;0.002;3527;0;93.21;
idle;39.41;0.88;40.51;0.89;38.33;0.87;;;;0.199;3474;2;7.594;;;0.001;106;0;20.02;
900000-threshold-0;46.03;0.90;49.31;0.90;43.06;0.90;;;;0.156;17025;2;32.698;;;0.002;3664;0;95.45;
idle;39.31;0.88;40.51;0.89;38.32;0.87;;;;0.205;3719;2;7.281;;;0.001;118;0;20.02;
900000-threshold-50;46.26;0.90;48.99;0.90;42.84;0.90;;;;0.147;16514;2;32.654;;;0.002;2904;0;91.31;
idle;39.43;0.88;40.54;0.89;38.67;0.87;;;;0.233;3814;2;7.491;;;0.001;95;0;20.02;
900000-threshold-100;45.90;0.90;48.83;0.90;42.11;0.89;;;;0.125;14378;2;31.136;;;0.002;3291;0;93.96;
idle;39.42;0.88;41.16;0.89;38.01;0.87;;;;0.241;3868;2;7.595;;;0.001;115;0;20.02;
900000-threshold-150;50.35;0.90;53.31;0.90;42.26;0.89;;;;0.114;6726;2;48.789;;;0.003;2203;0;52.51;
idle;39.43;0.88;41.02;0.89;37.72;0.86;;;;0.190;3694;2;7.526;;;0.001;103;0;20.02;
900000-threshold-0;44.30;0.90;46.14;0.90;41.57;0.89;;;;0.196;29311;2;24.895;;;0.001;4098;0;139.13;
idle;39.26;0.88;40.20;0.89;38.10;0.87;;;;0.229;4267;2;7.440;;;0.001;112;0;20.02;
900000-threshold-50;46.17;0.90;48.69;0.90;41.68;0.89;;;;0.145;16203;2;32.697;;;0.002;3287;0;91.43;
idle;39.52;0.88;42.44;0.88;38.54;0.87;;;;0.197;3603;2;7.883;;;0.001;109;0;20.02;
900000-threshold-100;46.48;0.90;49.16;0.90;42.15;0.89;;;;0.161;15283;2;32.818;;;0.002;3406;0;87.62;
idle;39.64;0.88;43.11;0.88;38.20;0.88;;;;0.231;4163;2;7.926;;;0.001;127;0;20.02;
900000-threshold-150;46.01;0.90;49.12;0.90;41.75;0.89;;;;0.137;14060;2;31.121;;;0.002;3404;0;90.89;
idle;39.65;0.88;41.82;0.89;38.24;0.87;;;;0.191;3930;2;7.735;;;0.001;108;0;20.02;
900000-threshold-0;46.13;0.90;48.05;0.90;43.15;0.90;;;;0.200;18481;2;32.766;;;0.002;3560;0;93.93;
idle;39.37;0.88;40.85;0.88;37.60;0.87;;;;0.185;3773;2;7.363;;;0.001;98;0;20.02;
900000-threshold-50;49.64;0.90;51.79;0.90;43.00;0.90;;;;0.111;6691;2;48.856;;;0.002;2407;0;54.23;
idle;39.56;0.88;40.85;0.89;38.19;0.87;;;;0.204;3987;2;8.046;;;0.001;135;0;20.01;
900000-threshold-100;46.23;0.90;49.02;0.90;43.28;0.90;;;;0.129;15075;2;32.436;;;0.002;3333;0;90.96;
idle;39.46;0.88;41.03;0.89;38.54;0.88;;;;0.199;3924;2;7.602;;;0.001;169;0;20.02;
900000-threshold-150;46.32;0.90;49.15;0.90;42.93;0.90;;;;0.160;16412;2;32.813;;;0.002;2786;0;83.85;
idle;39.21;0.95;40.22;0.97;37.00;0.93;;;;0.230;4417;2;6.897;;;0.001;104;0;20.02;
1000000-threshold-0;49.43;1.00;51.45;1.00;41.94;0.98;;;;0.113;7655;2;44.149;;;0.002;2768;0;56.21;
